City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,kabalo,-6.05,26.9167,20.49,98,100,1.14,CD,1702352551
273,nantucket,41.2835,-70.0995,5.08,65,0,6.69,US,1702352552
274,labrador city,52.9463,-66.9114,-8.05,86,100,6.17,CA,1702352552
275,igreja,15.0333,-24.3333,23.75,61,14,4.63,CV,1702352552
276,beykonak,36.3257,30.303,14.23,70,50,2.4,TR,1702352552
277,fortuna,40.5982,-124.1573,11.66,95,20,0.0,US,1702352446
278,richards bay,-28.783,32.0377,20.16,91,52,2.29,ZA,1702352552
279,west bay,19.3667,-81.4167,28.04,82,20,6.69,KY,1702352342
280,rongelap,11.1635,166.8941,27.2,79,13,9.35,MH,1702352553
281,moyynkum,44.2914,72.9469,-15.37,75,1,4.67,KZ,1702352553
282,vilyuchinsk,52.9306,158.4028,-4.85,79,40,2.28,RU,1702352553
283,east london,-33.0153,27.9116,18.52,94,0,2.57,ZA,1702352553
284,tionk essil,12.7856,-16.5217,22.98,77,9,2.19,SN,1702352554
285,mugia,43.1041,-9.2179,15.65,91,100,7.7,ES,1702352554
286,xiaoshi,41.2971,124.1209,-5.72,43,5,2.01,CN,1702352554
287,kalininsk,51.5,44.4758,-9.61,55,100,9.85,RU,1702352554
288,hengshui,37.7322,115.7011,1.25,62,12,2.34,CN,1702352554
289,haiku-pauwela,20.9219,-156.3051,27.01,70,20,6.17,US,1702352554
290,angel r. cabada,18.5833,-95.4333,20.08,81,100,3.06,MX,1702352554
291,kilindoni,-7.9139,39.6668,26.81,77,26,1.47,TZ,1702352555
292,el calafate,-50.3408,-72.2768,8.03,69,46,4.37,AR,1702352555
293,porangatu,-13.4408,-49.1486,21.89,87,78,1.1,BR,1702352555
294,summerville,33.0185,-80.1757,7.67,86,0,2.57,US,1702352431
295,tasikmalaya,-7.3274,108.2207,29.9,48,20,2.17,ID,1702352555
296,rudnya,54.947,31.0934,-0.05,98,100,5.92,RU,1702352555
297,port lincoln,-34.7333,135.8667,21.09,52,62,4.95,AU,1702352555
298,strelka,58.0728,93.0344,-30.23,95,87,0.25,RU,1702352556
299,bocas del toro,9.3333,-82.25,23.89,84,35,3.19,PA,1702352556
300,alofi,-19.0595,-169.9187,27.94,74,75,4.12,NU,1702352557
301,villa ojo de agua,-29.5,-63.6938,22.62,48,41,5.78,AR,1702352557
302,ilam,26.9167,87.9167,17.28,51,40,1.73,NP,1702352557
303,coquimbo,-29.9533,-71.3436,14.85,88,0,2.06,CL,1702351804
304,victorica,-36.2151,-65.4359,21.22,64,85,6.96,AR,1702352557
305,dokkum,53.3222,5.997,5.0,100,78,2.57,NL,1702352557
306,vilyuysk,63.7553,121.6247,-27.78,97,100,2.68,RU,1702352558
307,thunder bay,48.4001,-89.3168,-3.01,74,100,6.69,CA,1702352386
308,tarawa,1.419,172.984,28.52,71,100,1.22,KI,1702352559
309,hrodna,53.6884,23.8258,0.92,100,100,3.0,BY,1702352559
310,pisco,-13.7,-76.2167,20.03,83,0,5.14,PE,1702352559
311,ghadamis,30.1337,9.5007,11.52,48,0,2.67,LY,1702352559
312,tongliao,43.6125,122.2653,-14.3,58,95,1.74,CN,1702352559
313,jiagedaqi,50.4167,124.1167,-20.11,64,2,1.6,CN,1702352559
314,uturoa,-16.7333,-151.4333,26.76,79,100,9.83,PF,1702352560
315,village of oak creek (big park),34.7809,-111.7623,12.47,33,0,3.09,US,1702352560
316,edmundston,47.3737,-68.3251,-1.6,73,100,8.75,CA,1702352560
317,illizi,26.4833,8.4667,6.89,37,0,2.27,DZ,1702352560
318,howrah,22.5892,88.3103,20.0,73,0,2.06,IN,1702352560
319,motueka,-41.1333,173.0167,17.77,38,2,5.28,NZ,1702352560
320,tofol,5.3248,163.0078,30.88,70,75,6.17,FM,1702352561
321,kilju,40.9642,129.3278,-2.16,75,82,2.06,KP,1702352561
322,shagonar,51.5333,92.8,-29.71,95,93,0.77,RU,1702352561
323,serra talhada,-7.9919,-38.2983,25.14,58,47,3.02,BR,1702352561
324,bay roberts,47.5999,-53.2648,13.36,92,100,5.36,CA,1702352561
325,nishinoomote,30.7333,131.0,19.31,77,75,10.8,JP,1702352562
326,sheregesh,52.9209,87.9869,-23.91,96,7,1.16,RU,1702352562
327,ilulissat,69.2167,-51.1,2.01,69,100,6.69,GL,1702352562
328,prince george,53.9166,-122.753,-2.62,95,100,1.03,CA,1702352264
329,minas de marcona,-15.2119,-75.1103,15.84,85,63,4.78,PE,1702352562
